PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (1, 2)",-0.23500046545494288,0.13601962219657313,1,2,
Combined,Our model,"grid position (2, 0)",-0.15426883375121767,-0.25201494013475306,2,0,
Combined,Our model,"grid position (2, 1)",-0.1407097513243471,-0.09917423852334756,2,1,
Combined,Our model,"grid position (2, 2)",-0.44492597219240887,0.1807549027370529,2,2,
Combined,Our model,"grid position (0, 0)",0.2423772976081158,0.07137276773502889,0,0,
Combined,Our model,"grid position (0, 1)",0.2740420958582367,0.21502857327915953,0,1,
Combined,Our model,"grid position (0, 2)",0.07575478265859048,0.36732614610979997,0,2,
Combined,Our model,"grid position (1, 0)",0.04568633434028462,-0.1254732441263105,1,0,
Combined,Our model,"grid position (1, 1)",0.09565842117695207,-0.07409392939754926,1,1,
Combined,Our model,"grid position (1, 2)",-0.23492441103551492,0.20332484304295956,1,2,
Combined,Our model,"grid position (2, 0)",-0.10751987534145034,-0.30191382971891867,2,0,
Combined,Our model,"grid position (2, 1)",-0.06638483277858363,-0.08959078747013106,2,1,
Combined,Our model,"grid position (2, 2)",-0.3877801845362637,0.1589355633881286,2,2,
Combined,Our model,"grid position (0, 0)",0.28013863870242656,-0.1150946845221949,0,0,
Combined,Our model,"grid position (0, 1)",0.14707344453174498,0.009170579688873306,0,1,
Combined,Our model,"grid position (0, 2)",0.22696198486628918,-0.024976108899342347,0,2,
Combined,Our model,"grid position (1, 0)",-0.041038660276113116,-0.25618722553979917,1,0,
Combined,Our model,"grid position (1, 1)",-0.05407136118013024,-0.05631932374634516,1,1,
Combined,Our model,"grid position (1, 2)",-0.2654361036482909,0.16531717209217048,1,2,
Combined,Our model,"grid position (2, 0)",-0.14501052016596042,-0.34313991054211984,2,0,
Combined,Our model,"grid position (2, 1)",-0.13861722522794936,-0.0920979435098772,2,1,
Combined,Our model,"grid position (2, 2)",-0.3473374050361023,0.08383286487238273,2,2,
Combined,Our model,"grid position (0, 0)",0.34810528432299453,0.01312909975886303,0,0,
Combined,Our model,"grid position (0, 1)",0.19988244410209074,0.16327981900039382,0,1,
Combined,Our model,"grid position (0, 2)",-0.013115385948775916,0.33662711169006293,0,2,
Combined,Our model,"grid position (1, 0)",0.03064700555139153,-0.16119439315236359,1,0,
Combined,Our model,"grid position (1, 1)",-0.018505169240198505,0.02708648910023832,1,1,
Combined,Our model,"grid position (1, 2)",-0.24324908031264683,0.20483586774746748,1,2,
Combined,Our model,"grid position (2, 0)",0.0544570295969537,-0.3441780842442976,2,0,
Combined,Our model,"grid position (2, 1)",-0.10678387567852891,-0.08000541258206245,2,1,
Combined,Our model,"grid position (2, 2)",-0.3851586444599602,0.15860495107944403,2,2,
Combined,Our model,"grid position (0, 0)",0.34123096485778015,0.00179084703814809,0,0,
Combined,Our model,"grid position (0, 1)",0.3288268946780784,0.19449440394458398,0,1,
Combined,Our model,"grid position (0, 2)",0.09733471667567174,0.41676020685795784,0,2,
Combined,Our model,"grid position (1, 0)",0.03684356137007659,-0.15958550705109312,1,0,
Combined,Our model,"grid position (1, 1)",0.034295711456722326,-0.01446280032704767,1,1,
Combined,Our model,"grid position (1, 2)",-0.1199884542552701,0.060958871016542064,1,2,
Combined,Our model,"grid position (2, 0)",-0.05560447522860102,-0.23943967311393413,2,0,
Combined,Our model,"grid position (2, 1)",-0.06035209974222389,-0.07575379158628477,2,1,
Combined,Our model,"grid position (2, 2)",-0.1271792491210395,-0.040974169518416974,2,2,
Combined,Our model,"grid position (0, 0)",0.0681796164362422,-0.09999902288430565,0,0,
Combined,Our model,"grid position (0, 1)",0.11649973192384487,0.049867994074906774,0,1,
Combined,Our model,"grid position (0, 2)",-0.0520046706298985,0.1733372748194443,0,2,
Combined,Our model,"grid position (1, 0)",-0.053133811619400555,-0.14025346821032272,1,0,
